Brand,Model,Fuel type,Transmission,First Registration Year,Milleage (kms),Engine Power (PS),Price (EUR)
Opel,Mokka X,Benzin,Schaltgetriebe,11/2016,49809,140.0,13490.0
Peugeot,3008,Diesel,Automatik,04/2016,70110,120.0,13490.0
Renault,Captur,Benzin,Schaltgetriebe,11/2016,9212,118.0,13490.0
Kia,Sportage,Benzin,Schaltgetriebe,10/2015,38166,166.0,13490.0
Jeep,Renegade,Benzin,Schaltgetriebe,07/2016,74466,140.0,13490.0
Hyundai,Tucson,Diesel,Schaltgetriebe,06/2016,97800,116.0,13490.0
Renault,Captur,Benzin,Schaltgetriebe,05/2019,14333,90.0,13490.0
BMW,X1,Benzin,Schaltgetriebe,06/2012,83473,184.0,13490.0
Opel,Crossland X,Benzin,Schaltgetriebe,-/- (Erstzulassung),1,82.0,13490.0
Renault,Kadjar,Benzin,Schaltgetriebe,01/2018,11478,131.0,13490.0
Ford,Kuga,Benzin,Schaltgetriebe,02/2017,46948,120.0,13490.0
Suzuki,Ignis,Elektro/Benzin,Schaltgetriebe,07/2020,15,90.0,13490.0
Suzuki,Ignis,Elektro/Benzin,Schaltgetriebe,07/2020,15,90.0,13490.0
Toyota,RAV 4,Diesel,Schaltgetriebe,03/2014,76692,150.0,13490.0
Renault,Kadjar,Diesel,Schaltgetriebe,12/2015,69000,131.0,13490.0
Renault,Captur,Diesel,Schaltgetriebe,07/2018,22200,90.0,13490.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,13499.0
Dacia,Duster,Benzin,Schaltgetriebe,04/2019,4999,114.0,13499.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,13500.0
Kia,Stonic,Benzin,Schaltgetriebe,-/- (Erstzulassung),1,84.0,13500.0
SsangYong,Tivoli,Benzin,Schaltgetriebe,03/2018,17400,128.0,13500.0
Opel,Crossland X,Benzin,Schaltgetriebe,04/2019,44150,83.0,13571.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,131.0,13575.0
Volkswagen,Tiguan,Diesel,Automatik,04/2014,119695,140.0,13580.0
Hyundai,iX35,Benzin,Schaltgetriebe,07/2015,39520,135.0,13585.0
Dacia,Duster,Autogas (LPG),Schaltgetriebe,-/- (Erstzulassung),250,101.0,13589.0
BMW,X1,Diesel,Schaltgetriebe,10/2013,57153,116.0,13590.0
Skoda,Yeti,Benzin,Automatik,03/2014,84500,122.0,13590.0
Hyundai,Tucson,Benzin,Schaltgetriebe,04/2016,55080,132.0,13598.0
Hyundai,Tucson,Diesel,Schaltgetriebe,12/2015,89110,136.0,13619.0
Mazda,CX-5,Benzin,Schaltgetriebe,11/2012,104118,160.0,13678.0
Opel,Mokka,Benzin,Automatik,12/2013,40950,140.0,13690.0
Opel,Crossland X,Benzin,Schaltgetriebe,08/2017,30890,131.0,13750.0
Opel,Mokka,Benzin,Schaltgetriebe,06/2016,46379,140.0,13770.0
Opel,Mokka,Benzin,Schaltgetriebe,12/2014,43723,140.0,13780.0
Renault,Captur,Benzin,Schaltgetriebe,10/2019,17724,90.0,13790.0
Renault,Captur,Benzin,Schaltgetriebe,10/2019,14102,90.0,13790.0
Renault,Captur,Benzin,Schaltgetriebe,10/2019,20749,90.0,13790.0
