Brand,Model,Fuel type,Transmission,First Registration Year,Milleage (kms),Engine Power (PS),Price (EUR)
Volkswagen,Tiguan,Benzin,Schaltgetriebe,08/2013,61307,122.0,11990.0
Hyundai,iX35,Benzin,Schaltgetriebe,07/2014,99181,135.0,11990.0
Peugeot,2008,Benzin,Schaltgetriebe,04/2016,65360,110.0,11990.0
Ford,EcoSport,Benzin,Schaltgetriebe,05/2016,56000,125.0,11990.0
BMW,X5,Benzin,Automatik,04/2008,209140,272.0,11990.0
Honda,CR-V,Benzin,Schaltgetriebe,11/2011,59610,150.0,11990.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,03/2016,82363,117.0,11990.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,03/2012,79500,160.0,11990.0
Hyundai,iX35,Benzin,Schaltgetriebe,08/2012,75600,135.0,11990.0
Porsche,Cayenne,Benzin,Automatik,04/2007,119800,340.0,11998.0
Nissan,Qashqai,Benzin,Schaltgetriebe,11/2015,25000,116.0,11999.0
Renault,Captur,Diesel,Schaltgetriebe,04/2017,64264,110.0,12190.0
Nissan,X-Trail,Benzin,Schaltgetriebe,02/2017,56493,163.0,12220.0
Mazda,CX-3,Benzin,Schaltgetriebe,07/2016,34400,120.0,12290.0
Audi,Q5,Diesel,Schaltgetriebe,12/2008,100000,170.0,12290.0
Dacia,Duster,Autogas (LPG),Schaltgetriebe,05/2020,1,101.0,12295.0
Jeep,Compass,Diesel,Schaltgetriebe,04/2013,88590,163.0,12300.0
Dacia,Duster,Autogas (LPG),Schaltgetriebe,-/- (Erstzulassung),1,101.0,12310.0
Kia,Stonic,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,84.0,12370.0
Volkswagen,Tiguan,Diesel,Automatik,06/2012,116352,140.0,12380.0
Hyundai,iX35,Diesel,Schaltgetriebe,08/2015,68800,116.0,12390.0
Opel,Mokka X,Benzin,Schaltgetriebe,06/2017,72682,140.0,12390.0
Ford,Kuga,Diesel,Schaltgetriebe,10/2014,118300,163.0,12390.0
Opel,Mokka,Benzin,Schaltgetriebe,07/2016,34000,116.0,12390.0
Audi,Q3,Diesel,Schaltgetriebe,07/2012,119835,140.0,12400.0
Volkswagen,Tiguan,Diesel,Schaltgetriebe,09/2013,106580,110.0,12440.0
Kia,Sportage,Diesel,Schaltgetriebe,01/2014,103495,136.0,12440.0
Nissan,Juke,Benzin,Automatik,10/2015,18935,117.0,12440.0
Kia,Sportage,Diesel,Automatik,09/2011,104470,184.0,12440.0
Opel,Mokka X,Benzin,Schaltgetriebe,04/2017,40708,116.0,12450.0
Hyundai,iX35,Diesel,Schaltgetriebe,02/2015,72876,136.0,12470.0
BMW,X1,Diesel,Automatik,03/2014,79899,143.0,12490.0
BMW,X1,Diesel,Schaltgetriebe,09/2013,66235,163.0,12490.0
Ford,Kuga,Benzin,Schaltgetriebe,09/2016,54554,120.0,12490.0
Opel,Mokka,Diesel,Automatik,09/2015,107849,136.0,12490.0
Ford,EcoSport,Benzin,Schaltgetriebe,01/2016,38647,125.0,12490.0
Peugeot,4008,Diesel,Schaltgetriebe,09/2012,51350,114.0,12490.0
Kia,Sportage,Benzin,Schaltgetriebe,08/2011,75152,135.0,12490.0
Jeep,Renegade,Benzin,Schaltgetriebe,12/2014,65000,140.0,12490.0
Ford,Kuga,Benzin,Automatik,11/2011,93000,200.0,12499.0
Fiat,500X,Diesel,Schaltgetriebe,12/2015,60900,120.0,12500.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,05/2015,54700,117.0,12500.0
SsangYong,Tivoli,Diesel,Schaltgetriebe,08/2017,16125,116.0,12663.0
Opel,Mokka,Benzin,Automatik,06/2014,64351,140.0,12666.0
Nissan,Qashqai,Benzin,Schaltgetriebe,07/2014,59000,116.0,12690.0
Renault,Captur,Benzin,Schaltgetriebe,05/2019,14290,90.0,12690.0
Opel,Crossland X,Benzin,Schaltgetriebe,-/- (Erstzulassung),1,82.0,12730.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,06/2015,98180,122.0,12740.0
Subaru,XV,Diesel,Schaltgetriebe,01/2015,72487,147.0,12744.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,01/2015,81200,122.0,12779.0
Renault,Captur,Benzin,Schaltgetriebe,12/2019,100,90.0,12780.0
Nissan,Qashqai,Benzin,Automatik,03/2012,58000,141.0,12780.0
Hyundai,iX35,Benzin,Automatik,08/2015,57610,135.0,12790.0
Renault,Captur,Diesel,Automatik,06/2017,40399,90.0,12790.0
Opel,Crossland X,Diesel,Schaltgetriebe,06/2017,54100,120.0,12790.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,04/2017,53600,117.0,12850.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,02/2014,43888,122.0,12870.0
Volkswagen,Tiguan,Diesel,Automatik,05/2014,205300,140.0,12888.0
Kia,Sportage,Diesel,Schaltgetriebe,07/2015,73500,116.0,12890.0
Renault,Captur,Diesel,Automatik,07/2014,53028,90.0,12890.0
Renault,Captur,Diesel,Automatik,11/2016,46000,90.0,12890.0
Kia,Stonic,Benzin,Schaltgetriebe,02/2018,26714,84.0,12890.0
Ford,Kuga,Diesel,Schaltgetriebe,03/2017,142000,150.0,12899.0
Kia,Stonic,Benzin,Schaltgetriebe,09/2018,35185,101.0,12900.0
Opel,Mokka,Benzin,Schaltgetriebe,04/2016,54679,140.0,12930.0
Suzuki,SX4 S-Cross,Benzin,Schaltgetriebe,06/2016,76523,120.0,12950.0
Kia,Sportage,Benzin,Schaltgetriebe,04/2015,51015,135.0,12950.0
